game,language,token,token_lower,origin_class,lineage_tags,in_tb_tokens,tb_key,tb_source_entity,in_filtered_dic_base,is_corpus_form,is_ghost_form,is_casing_inferred,source_base_words,assigned_flags,mandatory_flags_assigned,validated_flags_assigned,validated_flags_candidates,filter_status,filter_match_type,flag_evidence_summary,step4_related_bases
RETRO,es,1era,1era,tb_only,tb_filtered_base,True,quest-step.418.name,quest-step:418,True,False,False,False,1era,,,,,kept_neologism,,,
RETRO,es,Abebeh,abebeh,tb_only,tb_filtered_base,True,item.3744.name,item:3744,True,False,False,False,Abebeh,,,,,kept_neologism,,,
RETRO,es,Abefun,abefun,tb_only,tb_filtered_base,True,item.4017.name,item:4017,True,False,False,False,Abefun,,,,,kept_neologism,,,
RETRO,es,Abewolu,abewolu,tb_only,tb_filtered_base,True,item.5329.name,item:5329,True,False,False,False,Abewolu,,,,,kept_neologism,,,
RETRO,es,Abipaca,abipaca,tb_only,tb_filtered_base,True,item.5828.name,item:5828,True,False,False,False,Abipaca,,,,,kept_neologism,,,
RETRO,es,Abir,abir,tb_only,tb_filtered_base,True,npc.464.name,npc:464,True,False,False,False,Abir,,,,,kept_neologism,,,
RETRO,es,Abomirol,abomirol,tb_only,tb_filtered_base,True,item.3561.name,item:3561,True,False,False,False,Abomirol,,,,,kept_neologism,,,
RETRO,es,Abrabotas,abrabotas,tb_only,tb_filtered_base,True,item.2423.name,item:2423,True,False,False,False,Abrabotas,,,,,kept_neologism,,,
RETRO,es,Abracapa,abracapa,tb_only,tb_filtered_base,True,item.948.name,item:948,True,False,False,False,Abracapa,,,,,kept_neologism,,,
RETRO,es,Abracaska,abracaska,tb_only,tb_filtered_base,True,item.2410.name | item.8463.name,item:2410,True,False,False,False,Abracaska,,,,,kept_neologism,,,
RETRO,es,Abracinto,abracinto,tb_only,tb_filtered_base,True,item.2429.name,item:2429,True,False,False,False,Abracinto,,,,,kept_neologism,,,
RETRO,es,abrajidor,abrajidor,tb_only,tb_filtered_base,True,item.15397.name | item.15405.name | item.8784.name | item.8785.name | item.8796.name | item.8797.name | item.8822.name | item.8823.name | item.8834.name | item.8835.name | item.8869.name | item.8870.name | item.8871.name | monster.1047.name | monster.1077.name | set.79.name | set.80.name | ttg_entity.1047.name | ttg_entity.1077.name,item:15397,True,False,False,False,abrajidor,,,,,kept_neologism,,,
RETRO,es,Abrajidor,abrajidor,tb_only,tb_filtered_base,True,item.15397.name | item.15405.name | item.8784.name | item.8785.name | item.8796.name | item.8797.name | item.8822.name | item.8823.name | item.8834.name | item.8835.name | item.8869.name | item.8870.name | item.8871.name | monster.1047.name | monster.1077.name | set.79.name | set.80.name | ttg_entity.1047.name | ttg_entity.1077.name,item:15397,True,False,False,False,Abrajidor,,,,,kept_neologism,,,
RETRO,es,Abrajinieves,abrajinieves,tb_only,tb_filtered_base,True,monster.2544.name,monster:2544,True,False,False,False,Abrajinieves,,,,,kept_neologism,,,
RETRO,es,Abrakadabra,abrakadabra,tb_only,tb_filtered_base,True,monster.2389.name | quest-step.514.name,monster:2389,True,False,False,False,Abrakadabra,,,,,kept_neologism,,,
RETRO,es,Abrakapa,abrakapa,tb_only,tb_filtered_base,True,item.2413.name | item.8464.name,item:2413,True,False,False,False,Abrakapa,,,,,kept_neologism,,,
RETRO,es,Abrakeponerse,abrakeponerse,tb_only,tb_filtered_base,True,monster.2388.name,monster:2388,True,False,False,False,Abrakeponerse,,,,,kept_neologism,,,
RETRO,es,Abraknación,abraknación,tb_only,tb_filtered_base,True,spell.482.name,spell:482,True,False,False,False,Abraknación,,,,,kept_neologism,,,
RETRO,es,Abrakno,abrakno,tb_only,tb_filtered_base,True,item.15172.name | item.15175.name | monster.650.name | monster.651.name | monster.992.name | ttg_entity.650.name | ttg_entity.651.name,item:15172,True,False,False,False,Abrakno,,,,,kept_neologism,,,
RETRO,es,Abraknydi,abraknydi,tb_only,tb_filtered_base,True,item.791.name,item:791,True,False,False,False,Abraknydi,,,,,kept_neologism,,,
RETRO,es,Abraknídeo,abraknídeo,tb_only,tb_filtered_base,True,item.14018.name | ttg_family.18.name,item:14018,True,False,False,False,Abraknídeo,,,,,kept_neologism,,,
RETRO,es,Abrakíledo,abrakíledo,tb_only,tb_filtered_base,True,monster.2309.name,monster:2309,True,False,False,False,Abrakíledo,,,,,kept_neologism,,,
RETRO,es,Abramú,abramú,tb_only,tb_filtered_base,True,item.1619.name,item:1619,True,False,False,False,Abramú,,,,,kept_neologism,,,
RETRO,es,Abranillo,abranillo,tb_only,tb_filtered_base,True,item.1559.name | item.1602.name | item.836.name,item:1559,True,False,False,False,Abranillo,,,,,kept_neologism,,,
RETRO,es,Abrarama,abrarama,tb_only,tb_filtered_base,True,spell.485.name,spell:485,True,False,False,False,Abrarama,,,,,kept_neologism,,,
RETRO,es,Abrarco,abrarco,tb_only,tb_filtered_base,True,item.1620.name,item:1620,True,False,False,False,Abrarco,,,,,kept_neologism,,,
RETRO,es,Abratura,abratura,tb_only,tb_filtered_base,True,item.8468.name,item:8468,True,False,False,False,Abratura,,,,,kept_neologism,,,
RETRO,es,Abrazolargo,abrazolargo,tb_only,tb_filtered_base,True,npc.497.name,npc:497,True,False,False,False,Abrazolargo,,,,,kept_neologism,,,
RETRO,es,Abroesidor,abroesidor,tb_only,tb_filtered_base,True,monster.2381.name,monster:2381,True,False,False,False,Abroesidor,,,,,kept_neologism,,,
RETRO,es,Abrákllota,abrákllota,tb_only,tb_filtered_base,True,item.10664.name,item:10664,True,False,False,False,Abrákllota,,,,,kept_neologism,,,
RETRO,es,Abrákneo,abrákneo,tb_only,tb_filtered_base,True,monster.2385.name,monster:2385,True,False,False,False,Abrákneo,,,,,kept_neologism,,,
RETRO,es,abráknida,abráknida,tb_only,tb_filtered_base,True,area.27.name | item.1722.name | item.7557.name | item.8449.name | subarea.175.name,area:27,True,False,False,False,abráknida,,,,,kept_neologism,,,
RETRO,es,Abráknida,abráknida,tb_only,tb_filtered_base,True,area.27.name | item.1722.name | item.7557.name | item.8449.name | subarea.175.name,area:27,True,False,False,False,Abráknida,,,,,kept_neologism,,,
RETRO,es,abráknido,abráknido,tb_only,tb_filtered_base,True,item.10259.name | item.10489.name | item.13103.name | item.13159.name | item.15170.name | item.15174.name | item.15178.name | item.15462.name | item.1610.name | item.1611.name | item.1612.name | item.1660.name | item.1985.name | item.434.name | item.435.name | item.436.name | item.437.name | item.462.name | item.464.name | item.469.name | item.501.name | item.6496.name | item.7086.name | item.792.name | item.8494.name | item.8495.name | item.8496.name | item.9009.name | item.927.name | monster.173.name | monster.253.name | monster.254.name | monster.2771.name | monster.2966.name | monster.47.name | monster.919.name | monster.989.name | monster.991.name | quest.79.name | ride_family.4.name | set.3.name | ttg_entity.173.name | ttg_entity.253.name | ttg_entity.2966.name | ttg_entity.47.name,item:10259,True,False,False,False,abráknido,,,,,kept_neologism,,,
RETRO,es,Abráknido,abráknido,tb_only,tb_filtered_base,True,item.10259.name | item.10489.name | item.13103.name | item.13159.name | item.15170.name | item.15174.name | item.15178.name | item.15462.name | item.1610.name | item.1611.name | item.1612.name | item.1660.name | item.1985.name | item.434.name | item.435.name | item.436.name | item.437.name | item.462.name | item.464.name | item.469.name | item.501.name | item.6496.name | item.7086.name | item.792.name | item.8494.name | item.8495.name | item.8496.name | item.9009.name | item.927.name | monster.173.name | monster.253.name | monster.254.name | monster.2771.name | monster.2966.name | monster.47.name | monster.919.name | monster.989.name | monster.991.name | quest.79.name | ride_family.4.name | set.3.name | ttg_entity.173.name | ttg_entity.253.name | ttg_entity.2966.name | ttg_entity.47.name,item:10259,True,False,False,False,Abráknido,,,,,kept_neologism,,,
RETRO,es,abráknidos,abráknidos,tb_only,tb_filtered_base,True,area.6.name | dungeon.19.name | hint.303.name | item.1567.name | item.923.name | subarea.168.name | subarea.169.name | subarea.33.name,area:6,True,False,False,False,abráknidos,,,,,kept_neologism,,,
RETRO,es,Abráknidos,abráknidos,tb_only,tb_filtered_base,True,area.6.name | dungeon.19.name | hint.303.name | item.1567.name | item.923.name | subarea.168.name | subarea.169.name | subarea.33.name,area:6,True,False,False,False,Abráknidos,,,,,kept_neologism,,,
RETRO,es,Abub,abub,tb_only,tb_filtered_base,True,item.15137.name | monster.353.name | monster.355.name | monster.384.name | ttg_entity.384.name,item:15137,True,False,False,False,Abub,,,,,kept_neologism,,,
RETRO,es,Abubanero,abubanero,tb_only,tb_filtered_base,True,monster.2384.name,monster:2384,True,False,False,False,Abubanero,,,,,kept_neologism,,,
RETRO,es,Abuelita,abuelita,tb_only,tb_filtered_base,True,item.7037.name,item:7037,True,False,False,False,Abuelita,,,,,kept_neologism,,,
RETRO,es,Abuelito,abuelito,tb_only,tb_filtered_base,True,item.15028.name | monster.99.name | ttg_entity.99.name,item:15028,True,False,False,False,Abuelito,,,,,kept_neologism,,,
RETRO,es,Abulita,abulita,tb_only,tb_filtered_base,True,npc.391.name,npc:391,True,False,False,False,Abulita,,,,,kept_neologism,,,
